"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
17	0.919803851118474	13	13	"Churn"	0
18	0.922666066149298	13	13	"Churn"	0
19	0.907405801231616	13	13	"Churn"	0
20	0.916373890532544	13	13	"Churn"	0
21	0.909717499028372	13	13	"Churn"	0
22	0.906938076899566	13	13	"Churn"	0
23	0.949964308570866	13	13	"Churn"	0
24	0.931153554262585	13	13	"Churn"	0
25	0.916241824072376	13	13	"Churn"	0
26	0.890219006395762	13	13	"Churn"	0
27	0.884940973571706	13	13	"Churn"	0
28	0.918607899339293	13	13	"Churn"	0
29	0.9175512534007	13	13	"Churn"	0
30	0.90568855886997	13	13	"Churn"	0
1	0.862462525273653	14	14	"Churn"	0
2	0.920814256879831	14	14	"Churn"	0
3	0.944218983425674	14	14	"Churn"	0
4	0.881122811551134	14	14	"Churn"	0
5	0.886383483033932	14	14	"Churn"	0
6	0.898123204022989	14	14	"Churn"	0
7	0.922827034883721	14	14	"Churn"	0
8	0.925576679893603	14	14	"Churn"	0
9	0.901648351648352	14	14	"Churn"	0
10	0.876380703673642	14	14	"Churn"	0
11	0.912530920060332	14	14	"Churn"	0
12	0.879971887023956	14	14	"Churn"	0
13	0.88152036199095	14	14	"Churn"	0
14	0.858432112068966	14	14	"Churn"	0
15	0.891717097622104	14	14	"Churn"	0
16	0.879578717786833	14	14	"Churn"	0
17	0.901507883963195	14	14	"Churn"	0
18	0.871852970795569	14	14	"Churn"	0
19	0.907167376893939	14	14	"Churn"	0
20	0.910429141716567	14	14	"Churn"	0
21	0.890561902152549	14	14	"Churn"	0
22	0.886332740771724	14	14	"Churn"	0
23	0.892940527504105	14	14	"Churn"	0
24	0.912642150347068	14	14	"Churn"	0
25	0.895836330504004	14	14	"Churn"	0
26	0.903861960522711	14	14	"Churn"	0
27	0.924918958485831	14	14	"Churn"	0
28	0.910511578189085	14	14	"Churn"	0
29	0.907696670636946	14	14	"Churn"	0
30	0.888028992284311	14	14	"Churn"	0
1	0.919640254566654	15	15	"Churn"	0
2	0.904702150650075	15	15	"Churn"	0
3	0.869039252433755	14	15	"Churn"	0
4	0.903659198989037	14	15	"Churn"	0
5	0.887951418050262	15	15	"Churn"	0
6	0.865037707390649	15	15	"Churn"	0
7	0.925050736093825	15	15	"Churn"	0
8	0.902041634279052	15	15	"Churn"	0
9	0.904275233999494	15	15	"Churn"	0
